,id,mode,TASK_STARTED_LOAD,TASKS_LIST_LOAD,TASK_SUBMITED_LOAD,FINISHED_TASK_LOAD,BELL_CLICK,SETT_CLICK,SETT_SAVE,MSG_RCV_WORKER,MSG_CLICK_WORKER,MSG_RCV_REQUESTER,MSG_CLICK_REQUESTER,LIST_NEW,LIST_RECOM,LIST_PAY,TASK_HIDE_ON,TASK_HIDE_OFF,tasks_count,wage_sum,wage_max,Unnamed: 0_x,all_tasks_count,all_rewards,TASKS_LIST,MESSAGES_READ,TASK_INFO,TASK_TIMEOUT,TASK_SUBMITED,WORKER_EARNINGS,WORKER_EARNINGS_DETAILS,WORKER_DASHBOARD,WORKER_QUALIFICATIONS,TASK_QUEUE,MESSAGES_NOTIFICATION
36,414169349440a08f907a241578f76689,ACTIVE,20,17,36,0,18,0,0,33,0,0,0,0,0,0,0,0,361,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0
37,414169349440a08f907a241578f76689,PASSIVE,39.5,12,33.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,350,0,0,1,36,1.42,0.5,1,0.5,0,0,0,0,0,0,0,0
38,4adad1b7b5717858cc36aed27ec3acf7,ACTIVE,4,44,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,4adad1b7b5717858cc36aed27ec3acf7,PASSIVE,9.5,21.5,20,0,13.5,0,0,0,0,0,0,0,0,0,0,0,6,0.14,0.14,1,10,0.32,3,1,0,0,1.5,0.5,1.5,0,0,0,0
40,7efc45e5132625d5314ddfc349384541,ACTIVE,1132,96,441,0,49,0,0,19,0,65,0,2,4,4,1,1,587,5.92,5.62,0,24,1.14,0,0,0,2,3,0,0,0,0,0,0
41,7efc45e5132625d5314ddfc349384541,PASSIVE,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,98,1.12,0,0,0,0,0,0,0,0,0,0,0
42,86a36fbbe35a283dee16ff8280e5ed5,ACTIVE,61,68,127,0,57,13,0,0,0,95,4,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,86a36fbbe35a283dee16ff8280e5ed5,PASSIVE,12,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,1,55,0.76,35,0,3,0,11,0,0,0,0,0,0
44,518cd56975ccc59032da3137d845c6b,ACTIVE,111,75,153,0,59,2,1,57,2,0,0,2,2,2,1,0,427,0.08,0.06,0,4,0.08,18,2,0,2,2,0,0,0,0,0,0
45,518cd56975ccc59032da3137d845c6b,PASSIVE,22,14,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0.66,2,0,0,0,0,0,0,0,0,0,0
